currentTimeStep, cubeJulia.position.x, cubeJulia.position.y, alphaJulia, degree, horizonForceJulia, verticalForceJulia, -frictionForceJulia.x + horizonForceJulia, -frictionForceJulia.y + verticalForceJulia, -frictionForceJulia.z + zAxisForceJulia
25.30876,-21.51114,0.75,0,0,0,19.95672,1.500076,19.95672,-1.585038E-08
25.31875,-21.51615,0.7500042,0.0008344654,0.04781135,0.01665109,19.9542,1.505554,19.95295,-1.573232E-08
25.32875,-21.52114,0.7500126,0.001665753,0.09544062,0.03323455,19.95165,1.510966,19.94917,-1.561493E-08
25.33875,-21.52611,0.750025,0.002493863,0.1428878,0.04975037,19.94907,1.516314,19.94539,-1.549822E-08
25.34875,-21.53106,0.7500416,0.003318797,0.1901531,0.06619855,19.94647,1.521599,19.94161,-1.538218E-08
25.35875,-21.53599,0.7500622,0.004140555,0.2372363,0.08257908,19.94385,1.526821,19.93782,-1.52668E-08
25.36875,-21.5409,0.7500867,0.004959138,0.2841377,0.09889197,19.9412,1.531981,19.93404,-1.515209E-08
25.37874,-21.54579,0.7501152,0.005774545,0.3308571,0.1151372,19.93853,1.537079,19.93025,-1.503804E-08
25.38874,-21.55066,0.7501476,0.006586778,0.3773946,0.1313148,19.93583,1.542118,19.92646,-1.492464E-08
25.39874,-21.55552,0.7501838,0.007395836,0.4237502,0.1474247,19.93311,1.547097,19.92268,-1.48119E-08
25.40874,-21.56035,0.7502237,0.008201721,0.469924,0.163467,19.93036,1.552018,19.91889,-1.469981E-08
25.41874,-21.56517,0.7502674,0.009004433,0.515916,0.1794416,19.9276,1.556882,19.9151,-1.458837E-08
25.42874,-21.56996,0.7503148,0.009803655,0.561708,0.1953422,19.92481,1.561682,19.91131,-1.447757E-08
25.43873,-21.57474,0.7503658,0.0105997,0.6073183,0.2111753,19.92201,1.566426,19.90753,-1.436741E-08
25.44873,-21.5795,0.7504204,0.01139258,0.6527468,0.2269407,19.91918,1.571114,19.90374,-1.425789E-08
25.45873,-21.58423,0.7504786,0.01218229,0.6979936,0.2426384,19.91633,1.575749,19.89996,-1.414901E-08
25.46873,-21.58895,0.7505403,0.0129685,0.7430406,0.2582623,19.91346,1.580323,19.89618,-1.404076E-08
25.47873,-21.59365,0.7506054,0.01375155,0.7879059,0.2738185,19.91057,1.584844,19.8924,-1.393313E-08
25.48873,-21.59833,0.7506739,0.01453143,0.8325894,0.2893072,19.90767,1.589314,19.88862,-1.382613E-08
25.49872,-21.60299,0.7507458,0.01530782,0.8770732,0.304722,19.90474,1.593725,19.88485,-1.371975E-08
25.50872,-21.60762,0.7508211,0.01608104,0.9213755,0.3200691,19.9018,1.598086,19.88108,-1.361399E-08
25.51872,-21.61224,0.7508995,0.01685077,0.9654778,0.3353425,19.89884,1.602391,19.87732,-1.350884E-08
25.52872,-21.61684,0.7509812,0.01761733,1.009399,0.3505483,19.89586,1.606647,19.87355,-1.34043E-08
25.53872,-21.62142,0.751066,0.01838041,1.05312,0.3656803,19.89287,1.610848,19.8698,-1.330037E-08
25.54872,-21.62598,0.7511539,0.01914032,1.096659,0.3807448,19.88986,1.615001,19.86604,-1.319704E-08
25.55871,-21.63051,0.751245,0.01989674,1.139999,0.3957355,19.88684,1.619101,19.8623,-1.309432E-08
25.56871,-21.63503,0.751339,0.02064968,1.183139,0.4106524,19.8838,1.623149,19.85855,-1.299219E-08
25.57871,-21.63953,0.7514361,0.02139945,1.226098,0.425502,19.88075,1.62715,19.85482,-1.289065E-08
25.58871,-21.644,0.7515361,0.02214573,1.268857,0.4402778,19.87768,1.631101,19.85109,-1.27897E-08
25.59871,-21.64846,0.7516389,0.02288853,1.311416,0.4549799,19.8746,1.635002,19.84736,-1.268934E-08
25.60871,-21.6529,0.7517447,0.02362817,1.353794,0.4696147,19.87151,1.638859,19.84364,-1.258956E-08
25.6187,-21.65731,0.7518532,0.02436431,1.395972,0.4841758,19.8684,1.642666,19.83993,-1.249036E-08
25.6287,-21.66171,0.7519645,0.02509698,1.437951,0.4986633,19.86528,1.646426,19.83623,-1.239173E-08
25.6387,-21.66608,0.7520785,0.02582616,1.47973,0.5130772,19.86215,1.650137,19.83253,-1.229368E-08
25.6487,-21.67043,0.7521951,0.02655218,1.521328,0.5274239,19.85901,1.653808,19.82884,-1.219619E-08
25.6587,-21.67477,0.7523143,0.02727471,1.562726,0.5416971,19.85586,1.657432,19.82516,-1.209927E-08
25.6687,-21.67908,0.7524361,0.02799376,1.603924,0.5558967,19.85269,1.661011,19.82148,-1.20029E-08
25.67869,-21.68337,0.7525604,0.02870933,1.644923,0.5700229,19.84952,1.664544,19.81782,-1.19071E-08
25.68869,-21.68764,0.7526872,0.02942141,1.685723,0.5840757,19.84634,1.668032,19.81416,-1.181184E-08
25.69869,-21.69189,0.7528164,0.03013001,1.726322,0.5980551,19.84314,1.671477,19.81051,-1.171714E-08
25.70869,-21.69612,0.752948,0.03083513,1.766723,0.6119611,19.83994,1.674878,19.80687,-1.162298E-08
