currentTimeStep, cubeRomeo.position.x, cubeRomeo.position.y,alphaRomeo,degree,horizonForceRomeo,verticalForceRomeo, -frictionForceRomeo.x + horizonForceRomeo, -frictionForceRomeo.y + verticalForceRomeo, -frictionForceRomeo.z + zAxisForceRomeo
25.30876,-20.01434,0.75,0,0,0,19.95663,1.499696,19.95664,-1.245749E-07
25.31376,-20.01934,0.7500042,0.0008344654,0.04781135,0.01665102,19.95411,1.505178,19.95287,-1.236472E-07
25.31875,-20.02433,0.7500125,0.001665753,0.09544062,0.03323441,19.95156,1.510595,19.94909,-1.227247E-07
25.32375,-20.0293,0.750025,0.002493863,0.1428878,0.04975016,19.94899,1.515947,19.94531,-1.218075E-07
25.32875,-20.03425,0.7500415,0.003318797,0.1901531,0.06619827,19.94639,1.521236,19.94153,-1.208956E-07
25.33375,-20.03918,0.750062,0.004140555,0.2372363,0.08257874,19.94377,1.526462,19.93775,-1.199889E-07
25.33875,-20.04409,0.7500865,0.004959138,0.2841377,0.09889157,19.94112,1.531626,19.93397,-1.190875E-07
25.34375,-20.04898,0.750115,0.005774545,0.330857,0.1151367,19.93845,1.536728,19.93018,-1.181912E-07
25.34875,-20.05386,0.7501473,0.006586777,0.3773945,0.1313142,19.93575,1.541771,19.9264,-1.173001E-07
25.35375,-20.05871,0.7501835,0.007395836,0.4237502,0.1474241,19.93303,1.546754,19.92261,-1.164141E-07
25.35875,-20.06355,0.7502234,0.00820172,0.4699239,0.1634663,19.93029,1.551679,19.91882,-1.155332E-07
25.36375,-20.06836,0.7502671,0.009004114,0.5158978,0.1794346,19.92752,1.556539,19.91503,-1.146574E-07
25.36875,-20.07316,0.7503145,0.009803336,0.5616898,0.1953352,19.92474,1.561343,19.91125,-1.137867E-07
25.37374,-20.07793,0.7503655,0.01059939,0.6073,0.2111681,19.92193,1.566091,19.90746,-1.12921E-07
25.37874,-20.08269,0.7504201,0.01139226,0.6527286,0.2269335,19.91911,1.570783,19.90368,-1.120603E-07
25.38374,-20.08743,0.7504782,0.01218165,0.6979572,0.2426249,19.91626,1.575415,19.8999,-1.112046E-07
25.38874,-20.09214,0.7505398,0.01296787,0.743004,0.2582487,19.91339,1.579993,19.89612,-1.103539E-07
25.39374,-20.09684,0.7506049,0.01375091,0.7878694,0.2738049,19.9105,1.584518,19.89234,-1.095081E-07
25.39874,-20.10152,0.7506734,0.01453047,0.8325347,0.2892871,19.9076,1.588984,19.88857,-1.086672E-07
25.40374,-20.10617,0.7507452,0.01530686,0.8770185,0.3047019,19.90467,1.5934,19.88479,-1.078312E-07
25.40874,-20.11081,0.7508204,0.01607976,0.9213024,0.3200427,19.90173,1.597758,19.88103,-1.07E-07
25.41374,-20.11543,0.7508988,0.01684949,0.9654049,0.335316,19.89878,1.602066,19.87726,-1.061737E-07
25.41874,-20.12003,0.7509805,0.01761574,1.009308,0.3505155,19.8958,1.606319,19.8735,-1.053521E-07
25.42374,-20.1246,0.7510653,0.01837882,1.053029,0.3656474,19.89281,1.610523,19.86975,-1.045354E-07
25.42874,-20.12916,0.7511532,0.01913841,1.09655,0.3807056,19.8898,1.614674,19.86599,-1.037233E-07
25.43373,-20.1337,0.7512442,0.01989483,1.13989,0.3956963,19.88678,1.618777,19.86225,-1.02916E-07
25.43873,-20.13821,0.7513383,0.02064777,1.18303,0.4106132,19.88374,1.622828,19.85851,-1.021134E-07
25.44373,-20.14271,0.7514353,0.02139754,1.225989,0.4254627,19.88069,1.626834,19.85477,-1.013155E-07
25.44873,-20.14719,0.7515353,0.02214382,1.268748,0.4402385,19.87762,1.630788,19.85104,-1.005221E-07
25.45373,-20.15164,0.7516381,0.02288662,1.311307,0.4549405,19.87454,1.634691,19.84731,-9.973338E-08
25.45873,-20.15608,0.7517438,0.02362625,1.353685,0.4695753,19.87145,1.638552,19.8436,-9.894922E-08
25.46373,-20.1605,0.7518523,0.0243624,1.395863,0.4841364,19.86834,1.642363,19.83989,-9.816961E-08
25.46873,-20.16489,0.7519635,0.02509507,1.437842,0.4986239,19.86522,1.646125,19.83618,-9.73945E-08
25.47373,-20.16926,0.7520774,0.02582425,1.479621,0.5130378,19.86209,1.64984,19.83249,-9.662388E-08
25.47873,-20.17362,0.752194,0.02654995,1.5212,0.5273781,19.85895,1.653507,19.8288,-9.585774E-08
25.48373,-20.17795,0.7523132,0.02727248,1.562598,0.5416513,19.8558,1.657135,19.82512,-9.509603E-08
25.48873,-20.18226,0.752435,0.02799153,1.603796,0.5558509,19.85264,1.660716,19.82144,-9.43387E-08
25.49372,-20.18655,0.7525592,0.02870709,1.644795,0.5699771,19.84947,1.664252,19.81778,-9.358578E-08
25.49872,-20.19082,0.752686,0.02941918,1.685595,0.5840299,19.84628,1.667744,19.81412,-9.283718E-08
25.50372,-20.19507,0.7528151,0.03012778,1.726195,0.5980093,19.84309,1.671191,19.81047,-9.20929E-08
25.50872,-20.1993,0.7529467,0.0308329,1.766595,0.6119153,19.83989,1.674596,19.80683,-9.13529E-08
25.51372,-20.20351,0.7530805,0.03153453,1.806795,0.625748,19.83669,1.677957,19.80321,-9.061717E-08
25.51872,-20.2077,0.7532167,0.03223268,1.846797,0.6395074,19.83347,1.681276,19.79959,-8.988566E-08
25.52372,-20.21186,0.7533551,0.03292735,1.886598,0.6531935,19.83024,1.684554,19.79597,-8.915836E-08
25.52872,-20.21601,0.7534958,0.03361854,1.9262,0.6668065,19.82701,1.68779,19.79237,-8.843523E-08
25.53372,-20.22013,0.7536385,0.03430624,1.965603,0.6803462,19.82378,1.690987,19.78878,-8.771624E-08
