currentTimeStep, cubeRomeo.position.x, cubeRomeo.velocity.x, springPotentialEnergy, cubeRomeoKinetic, springForceX
0.02,5.254007,2.039999,3.799988E-05,4.161597,-0.0189674
0.04,5.294803,2.039809,0.004751057,4.160823,-0.2120859
0.06,5.335557,2.037688,0.01732544,4.152174,-0.4050035
0.08,5.37623,2.033638,0.0377135,4.135685,-0.5975373
0.09999999,5.416783,2.027663,0.06583792,4.111417,-0.7895046
0.12,5.457178,2.019768,0.1015924,4.079463,-0.9807248
0.14,5.497377,2.009961,0.1448416,4.039942,-1.171017
0.16,5.537343,1.99825,0.1954219,3.993005,-1.360201
0.18,5.577035,1.984648,0.2531412,3.938829,-1.548097
0.2,5.616419,1.969167,0.3177817,3.87762,-1.734527
0.22,5.655455,1.951822,0.3890979,3.80961,-1.919314
0.24,5.694108,1.932629,0.4668201,3.735055,-2.102284
0.26,5.73234,1.911606,0.550655,3.654238,-2.283266
0.28,5.770115,1.888774,0.6402841,3.567466,-2.462085
0.3,5.807398,1.864153,0.7353678,3.475065,-2.638572
0.32,5.844154,1.837767,0.8355476,3.377388,-2.812563
0.34,5.880347,1.809641,0.9404427,3.274802,-2.98389
0.36,5.915943,1.779802,1.049656,3.167697,-3.152391
0.38,5.950908,1.748278,1.162775,3.056478,-3.317909
0.4,5.98521,1.715099,1.27937,2.941566,-3.480284
0.42,6.018816,1.680297,1.399001,2.823397,-3.639366
0.4400001,6.051694,1.643903,1.521215,2.702417,-3.795001
0.4600001,6.083813,1.605953,1.645549,2.579085,-3.947045
0.4800001,6.115143,1.566483,1.771532,2.453868,-4.095351
0.5000001,6.145653,1.525529,1.898686,2.327239,-4.239779
0.52,6.175316,1.483131,2.026531,2.199678,-4.380194
0.54,6.204103,1.439329,2.154584,2.071669,-4.516462
0.56,6.231986,1.394165,2.282359,1.943696,-4.648455
0.58,6.25894,1.34768,2.409371,1.816242,-4.776046
0.6,6.284938,1.29992,2.535142,1.689791,-4.899117
0.6199999,6.309957,1.250929,2.659193,1.564822,-5.017548
0.6399999,6.333972,1.200753,2.781054,1.441808,-5.131228
