currentTimeStep, cubeRomeo.position.x, cubeRomeo.velocity.x, springPotentialEnergy, cubeRomeoKinetic, springForceX
0.02,4.764406,2.039999,0.0002872318,4.161597,-0.03987744
0.04,4.805198,2.0396,0.004217007,4.15997,-0.1527964
0.06,4.845959,2.038072,0.01274486,4.153739,-0.2656309
0.08,4.886668,2.035416,0.02585199,4.142919,-0.3783189
0.09999999,4.9273,2.031633,0.04350927,4.127532,-0.490797
0.12,4.967835,2.026725,0.06567759,4.107614,-0.6030033
0.14,5.008249,2.020695,0.09230787,4.083207,-0.7148755
0.16,5.04852,2.013546,0.1233411,4.054368,-0.8263518
0.18,5.088625,2.005282,0.1587089,4.021158,-0.9373714
0.2,5.128543,1.995909,0.1983323,3.983652,-1.047871
0.22,5.168252,1.98543,0.2421242,3.941932,-1.157791
0.24,5.207729,1.973852,0.2899871,3.896092,-1.267069
0.26,5.246953,1.961181,0.3418157,3.846232,-1.375647
0.28,5.285901,1.947425,0.3974947,3.792464,-1.483463
0.3,5.324553,1.93259,0.4569012,3.734905,-1.590458
0.32,5.362887,1.916686,0.5199035,3.673684,-1.696573
0.34,5.400881,1.89972,0.5863618,3.608936,-1.801747
0.36,5.438515,1.881702,0.6561289,3.540804,-1.905924
0.38,5.475768,1.862643,0.7290509,3.46944,-2.009046
0.4,5.512619,1.842553,0.8049657,3.395001,-2.111056
0.42,5.549048,1.821442,0.883706,3.317652,-2.211897
0.4400001,5.585034,1.799323,0.9650967,3.237564,-2.311514
0.4600001,5.620559,1.776208,1.048958,3.154915,-2.409851
0.4800001,5.655601,1.75211,1.135105,3.069888,-2.506854
0.5000001,5.690142,1.727041,1.223344,2.982671,-2.602468
0.52,5.724162,1.701016,1.313483,2.893457,-2.696642
0.54,5.757643,1.67405,1.405321,2.802443,-2.789324
0.56,5.790566,1.646157,1.498655,2.709832,-2.880461
0.58,5.822914,1.617352,1.593278,2.615828,-2.970003
0.6,5.854667,1.587652,1.68898,2.520639,-3.057901
0.6199999,5.885808,1.557073,1.78555,2.424477,-3.144105
0.6399999,5.916321,1.525632,1.882774,2.327553,-3.228569
0.6599999,5.946187,1.493346,1.980435,2.230083,-3.311245
0.6799999,5.975392,1.460234,2.07832,2.132283,-3.392089
0.6999999,6.003919,1.426313,2.17621,2.034369,-3.471055
0.7199998,6.031751,1.391603,2.273889,1.936558,-3.548098
0.7399998,6.058873,1.356122,2.37114,1.839066,-3.623178
0.7599998,6.085271,1.31989,2.467748,1.742109,-3.696251
0.7799998,6.110929,1.282927,2.5635,1.645902,-3.767278
0.7999998,6.135835,1.245255,2.658184,1.550659,-3.83622
0.8199998,6.159973,1.206892,2.751589,1.456589,-3.903038
0.8399997,6.18333,1.167862,2.843508,1.363901,-3.967695
0.8599997,6.205894,1.128185,2.93374,1.272802,-4.030156
0.8799997,6.227652,1.087883,3.022082,1.18349,-4.090384
0.8999997,6.248591,1.04698,3.108341,1.096166,-4.14835
0.9199997,6.268702,1.005496,3.192324,1.011022,-4.204018
0.9399996,6.287971,0.963456,3.273845,0.9282474,-4.257358
0.9599996,6.306388,0.9208824,3.352726,0.8480244,-4.308341
0.9799996,6.323945,0.877799,3.428791,0.7705311,-4.35694
0.9999996,6.340629,0.8342296,3.501869,0.695939,-4.403125
1.02,6.356433,0.7901983,3.571801,0.6244134,-4.446873
1.04,6.371347,0.7457296,3.638432,0.5561126,-4.488159
1.06,6.385365,0.700848,3.701615,0.491188,-4.52696
1.08,6.398476,0.6555784,3.761209,0.4297831,-4.563255
1.1,6.410675,0.6099459,3.817081,0.372034,-4.597024
