t,x(t),v(t),F(t) (added)
0.02,2,0,-200
0.04,1.9992,-0.04,-199.92
0.06,1.9976,-0.07998399,-199.76
0.08,1.995202,-0.119936,-199.5202
0.09999999,1.992005,-0.15984,-199.2005
0.12,1.988011,-0.1996801,-198.8011
0.14,1.983222,-0.2394403,-198.3222
0.16,1.97764,-0.2791048,-197.764
0.18,1.971267,-0.3186576,-197.1267
0.2,1.964105,-0.3580829,-196.4106
0.22,1.956158,-0.397365,-195.6158
0.24,1.947428,-0.4364882,-194.7428
0.26,1.93792,-0.4754367,-193.792
0.28,1.927636,-0.5141951,-192.7636
0.3,1.916581,-0.5527478,-191.6581
0.32,1.904759,-0.5910795,-190.4759
0.34,1.892176,-0.6291746,-189.2176
0.36,1.878835,-0.6670182,-187.8835
0.38,1.864743,-0.7045949,-186.4743
0.4,1.849906,-0.7418897,-184.9906
0.42,1.834328,-0.7788878,-183.4328
0.4400001,1.818016,-0.8155743,-181.8016
0.4600001,1.800978,-0.8519347,-180.0978
0.4800001,1.783219,-0.8879542,-178.3219
